rm,time
1527.3,2021-11-18T21:24:42.382+00:00
1510.7,2021-11-18T21:28:42.507+00:00
1508.2,2021-11-18T21:32:42.416+00:00
1499.9,2021-11-18T21:36:42.39+00:00
1498.2,2021-11-18T21:40:42.518+00:00
1489.4,2021-11-18T21:44:42.433+00:00
1483.3,2021-11-18T21:48:42.381+00:00
1482.8,2021-11-18T21:52:42.38+00:00
1488.7,2021-11-18T21:56:42.561+00:00
1503.1,2021-11-18T22:00:42.583+00:00
1503.6,2021-11-18T22:04:42.476+00:00
1496.6,2021-11-18T22:08:42.405+00:00
1488.7,2021-11-18T22:12:42.393+00:00
1502.5,2021-11-18T22:16:42.398+00:00
1496.2,2021-11-18T22:20:42.977+00:00
1484.1,2021-11-18T22:24:42.407+00:00
1474.1,2021-11-18T22:28:42.464+00:00
1485.3,2021-11-18T22:32:42.511+00:00
1494.9,2021-11-18T22:36:42.497+00:00
1491.4,2021-11-18T22:40:42.467+00:00
1490.0,2021-11-18T22:44:42.489+00:00
1484.0,2021-11-18T22:48:42.561+00:00
1490.4,2021-11-18T22:52:42.504+00:00
1515.5,2021-11-18T22:56:42.503+00:00
1515.9,2021-11-18T23:00:42.592+00:00
1522.3,2021-11-18T23:04:42.728+00:00
1524.7,2021-11-18T23:08:42.497+00:00
1521.0,2021-11-18T23:12:42.702+00:00
1499.7,2021-11-18T23:16:48.701+00:00
1481.7,2021-11-18T23:20:42.729+00:00
1480.5,2021-11-18T23:24:42.481+00:00
1501.5,2021-11-18T23:28:42.507+00:00
1496.2,2021-11-18T23:32:42.535+00:00
1500.2,2021-11-18T23:36:42.397+00:00
1480.6,2021-11-18T23:40:42.779+00:00
1482.8,2021-11-18T23:44:42.517+00:00
1479.5,2021-11-18T23:48:42.587+00:00
1474.4,2021-11-18T23:52:42.46+00:00
1471.8,2021-11-18T23:56:42.709+00:00
1468.9,2021-11-19T00:00:42.557+00:00
1459.1,2021-11-19T00:04:42.656+00:00
1455.1,2021-11-19T00:08:42.581+00:00
1451.7,2021-11-19T00:12:42.686+00:00
1453.7,2021-11-19T00:16:42.584+00:00
1453.6,2021-11-19T00:20:42.684+00:00
1464.0,2021-11-19T00:24:42.577+00:00
1467.4,2021-11-19T00:28:42.607+00:00
1453.6,2021-11-19T00:32:42.565+00:00
1446.5,2021-11-19T00:36:42.585+00:00
1452.0,2021-11-19T00:40:42.551+00:00
1462.6,2021-11-19T00:44:42.57+00:00
1466.2,2021-11-19T00:48:42.693+00:00
1456.6,2021-11-19T00:52:42.5+00:00
1455.4,2021-11-19T00:56:42.597+00:00
1457.9,2021-11-19T01:00:42.592+00:00
1462.3,2021-11-19T01:04:42.577+00:00
1453.9,2021-11-19T01:08:42.679+00:00
1450.7,2021-11-19T01:12:42.586+00:00
1457.0,2021-11-19T01:16:42.704+00:00
1455.4,2021-11-19T01:20:42.579+00:00
1449.0,2021-11-19T01:24:42.589+00:00
1442.7,2021-11-19T01:28:42.677+00:00
1438.1,2021-11-19T01:32:42.669+00:00
1436.5,2021-11-19T01:36:42.675+00:00
1436.2,2021-11-19T01:40:42.669+00:00
1437.5,2021-11-19T01:44:42.686+00:00
1462.6,2021-11-19T01:48:42.758+00:00
1462.3,2021-11-19T01:52:42.591+00:00
1467.5,2021-11-19T01:56:42.686+00:00
1457.3,2021-11-19T02:00:43.16+00:00
1459.7,2021-11-19T02:04:42.686+00:00
1455.4,2021-11-19T02:08:42.681+00:00
1451.3,2021-11-19T02:12:42.686+00:00
1451.3,2021-11-19T02:16:42.684+00:00
1453.9,2021-11-19T02:24:42.778+00:00
1445.6,2021-11-19T02:28:42.685+00:00
1442.9,2021-11-19T02:32:42.687+00:00
1444.4,2021-11-19T02:36:42.69+00:00
1447.2,2021-11-19T02:40:44.86+00:00
1454.6,2021-11-19T02:44:42.685+00:00
1454.7,2021-11-19T02:48:42.7+00:00
1453.6,2021-11-19T02:52:42.703+00:00
1443.8,2021-11-19T02:56:42.686+00:00
1442.7,2021-11-19T03:00:42.762+00:00
1447.8,2021-11-19T03:04:42.694+00:00
